,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Sapele,71,NG,1563128382,87,5.89,5.68,77.01,5.5
375,Palana,68,RU,1563128383,92,59.08,159.95,50.91,26.13
376,Sayyan,30,YE,1563128383,51,15.17,44.32,76.29,4.32
377,Ndjole,86,GA,1563128383,81,-0.18,10.76,77.01,3.98
378,Kilrush,20,IE,1563128383,72,51.96,-8.06,66.2,10.29
379,Pitimbu,75,BR,1563128383,78,-7.47,-34.81,80.6,14.99
380,Husavik,69,CA,1563128384,45,50.56,-96.99,82.0,7.0
381,Hambantota,30,LK,1563128384,80,6.12,81.12,82.77,13.98
382,Saurimo,0,AO,1563128384,29,-9.66,20.4,70.53,4.74
383,Nyimba,21,ZM,1563128384,53,-14.56,30.81,66.03,4.25
384,Salinopolis,100,BR,1563128384,79,-0.61,-47.36,80.97,17.45
385,Kroya,0,ID,1563128384,80,-6.5,108.06,69.81,5.86
386,Kharp,94,RU,1563128385,90,66.82,65.8,56.13,6.55
387,Lata,96,IN,1563128385,90,30.78,78.62,43.17,1.34
388,Svetlaya,100,RU,1563128385,98,46.54,138.33,53.97,3.51
389,Mitu,0,IR,1563128385,27,36.2,46.09,68.73,6.69
390,Kudahuvadhoo,28,MV,1563128385,64,2.67,72.89,84.21,3.18
391,Maua,86,KE,1563128386,95,0.23,37.94,51.27,9.1
392,Imbituba,75,BR,1563128386,93,-28.24,-48.67,64.4,9.17
393,Marrakesh,0,MA,1563128386,19,31.63,-7.99,100.4,6.93
394,Awjilah,0,LY,1563128386,29,29.14,21.3,91.41,15.48
395,Hervey Bay,38,AU,1563128386,45,-25.3,152.85,48.99,8.05
396,Qaqortoq,75,GL,1563128387,39,60.72,-46.03,66.2,8.05
397,Ostrovnoy,30,RU,1563128387,89,68.05,39.51,41.91,5.88
398,Khuldabad,58,IN,1563128387,80,20.05,75.18,76.47,12.46
399,Yekaterinovka,0,RU,1563128388,62,46.69,38.75,74.13,3.51
400,Chongwe,0,ZM,1563128388,62,-15.33,28.68,54.87,5.99
401,Yulara,0,AU,1563128389,56,-25.24,130.99,42.8,5.82
402,Chimoio,75,MZ,1563128389,72,-19.11,33.48,62.6,2.68
403,Moche,90,PE,1563128389,77,-8.17,-79.01,66.2,9.17
404,Samarinda,82,ID,1563128389,95,-0.5,117.14,72.51,4.41
405,Lulea,0,SE,1563128389,71,65.58,22.15,57.2,4.7
406,Great Bend,1,US,1563128390,58,38.36,-98.78,89.6,9.17
407,Vila do Maio,75,CV,1563128390,51,15.13,-23.22,86.0,12.75
408,Toora-Khem,100,RU,1563128390,98,52.47,96.11,56.31,4.47
409,Batagay,5,RU,1563128391,77,67.65,134.64,52.17,3.38
410,Pimentel,99,BR,1563128391,82,-3.7,-45.5,80.79,2.39
411,Tautira,75,PF,1563128391,69,-17.73,-149.15,77.0,9.17
412,Trelew,93,AR,1563128392,42,-43.25,-65.31,53.79,16.89
413,Sibu,75,MY,1563128392,88,2.29,111.83,77.0,1.5
414,Miyang,100,CN,1563128393,98,24.4,103.44,63.15,5.1
415,Mathbaria,100,BD,1563128393,86,22.29,89.96,82.59,9.33
416,Victoria,75,BN,1563128393,88,5.28,115.24,78.8,2.24
417,Kitimat,75,CA,1563128394,72,54.02,-128.69,62.6,6.93
418,Padang,56,ID,1563128394,79,-0.92,100.36,82.41,9.8
419,Wajima,36,JP,1563128394,83,37.4,136.9,70.71,10.65
420,Westport,40,US,1563128395,38,41.14,-73.36,91.99,11.41
421,Fare,92,PF,1563128395,78,-16.7,-151.02,78.81,15.84
422,Eldama Ravine,75,KE,1563128395,77,0.05,35.72,60.8,4.7
423,Mantua,20,IT,1563128396,51,45.16,10.79,82.4,10.29
424,Trinidad,40,BO,1563128132,58,-14.83,-64.9,87.8,8.05
425,Mapiri,24,BO,1563128397,74,-15.31,-68.22,58.65,6.67
426,Puerto Varas,75,CL,1563128397,87,-41.32,-72.98,48.2,9.17
427,Honiara,90,SB,1563128397,100,-9.43,159.96,71.6,6.82
428,Longyearbyen,40,NO,1563128397,70,78.22,15.63,46.4,11.41
429,Akdepe,0,TM,1563128398,26,42.05,59.39,95.0,13.18
430,Bosaso,3,SO,1563128398,68,11.28,49.18,88.17,4.76
431,Hami,82,CN,1563128398,15,42.84,93.51,85.83,15.35
432,Itoman,75,JP,1563128398,89,26.12,127.67,84.2,8.05
433,Cururupu,50,BR,1563128399,58,-1.82,-44.87,86.01,6.93
434,Vidim,20,CZ,1563128399,59,50.47,14.53,69.01,14.99
435,Saint-Pierre,20,FR,1563128399,52,48.95,4.24,70.0,19.46
436,De Aar,0,ZA,1563128399,21,-30.65,24.01,58.47,7.4
437,Nyeri,99,KE,1563128400,95,-0.42,36.95,51.45,4.03
438,Sovetskiy,94,RU,1563128400,87,56.76,48.47,59.73,2.04
439,Cusco,40,PE,1563128400,20,-13.52,-71.98,66.2,6.93
440,Praia da Vitoria,40,PT,1563128400,69,38.73,-27.07,75.2,7.2
441,Sena Madureira,2,BR,1563128400,39,-9.07,-68.66,92.31,4.03
442,Marawi,100,PH,1563128401,96,8.0,124.29,73.99,1.01
443,Sovetskoye,40,RU,1563128401,64,51.44,46.74,69.8,4.47
444,Northam,0,AU,1563128401,58,-31.65,116.67,55.4,9.17
445,Nemuro,95,JP,1563128401,94,43.32,145.57,52.89,13.76
446,Ballina,20,IE,1563128402,52,54.11,-9.15,71.01,5.82
447,Pansemal,86,IN,1563128402,70,21.66,74.7,82.77,20.49
448,Belmonte,0,PT,1563128403,58,40.36,-7.35,93.99,5.99
449,Rincon,40,PA,1563128168,79,8.46,-82.28,84.2,6.93
450,Sao Joao da Barra,0,BR,1563128403,29,-21.64,-41.05,89.6,9.17
451,Kontagora,50,NG,1563128297,66,10.4,5.47,81.87,3.0
452,Bowen,93,AU,1563128404,87,-20.01,148.25,54.0,6.93
453,Daru,100,PG,1563128404,90,-9.07,143.21,73.23,9.75
454,Cherskiy,98,RU,1563128404,69,68.75,161.3,42.45,24.81
455,Ostersund,75,SE,1563128404,66,63.18,14.64,53.6,20.8
456,Bandarbeyla,98,SO,1563128405,59,9.49,50.81,81.15,23.44
457,Ikwiriri,82,TZ,1563128405,66,-7.96,38.99,75.39,5.97
458,Khuzdar,3,PK,1563128405,38,27.8,66.62,79.89,7.65
459,Elizabeth City,1,US,1563128406,52,36.3,-76.22,96.01,0.18
460,Dalby,0,AU,1563128407,76,-27.18,151.26,32.0,8.05
461,Merauke,99,ID,1563128407,83,-8.49,140.4,77.91,22.5
462,Hay River,40,CA,1563128407,72,60.82,-115.79,62.6,11.41
463,Olbia,20,IT,1563128408,54,40.92,9.49,82.4,8.05
464,Buraydah,0,SA,1563128408,17,26.33,43.97,98.6,8.05
465,Pokhara,82,NP,1563128141,95,28.21,83.99,55.77,1.72
466,Ribeira Brava,40,PT,1563128408,69,32.65,-17.07,75.2,13.87
467,Rovaniemi,0,FI,1563128409,54,66.5,25.72,55.4,8.05
468,Andros Town,40,BS,1563128409,62,24.73,-77.79,87.8,11.41
469,Shasta Lake,20,US,1563128409,27,40.68,-122.36,91.99,4.7
470,Kaihua,36,CN,1563128115,97,29.14,118.41,67.29,2.21
471,Rio Gallegos,0,AR,1563128409,64,-51.62,-69.22,37.4,3.36
472,Gloversville,20,US,1563128409,48,43.05,-74.34,84.99,11.41
473,Takaka,64,NZ,1563128410,92,-40.86,172.81,46.0,1.01
474,Grand Junction,1,US,1563128410,27,39.06,-108.55,91.0,6.78
475,Bulungu,82,CD,1563128410,36,-4.54,18.6,86.73,3.09
476,Sokolo,45,ML,1563128410,33,14.74,-6.12,95.73,4.68
477,Cockburn Town,0,TC,1563128410,78,21.46,-71.14,82.41,17.87
478,Morwa,0,BW,1563128411,31,-24.44,26.07,60.8,3.36
479,Portland,40,US,1563128288,48,43.66,-70.25,87.01,12.75
480,Turan,84,RU,1563128411,96,52.15,93.92,50.19,4.65
481,Vardo,1,US,1563128411,38,39.62,-77.74,93.0,14.99
482,Gobabis,0,NA,1563128412,11,-22.45,18.97,66.2,3.36
483,Camacha,40,PT,1563128412,78,33.08,-16.33,75.2,12.75
484,Zafra,0,ES,1563128184,24,38.43,-6.42,95.0,11.41
485,Los Llanos de Aridane,40,ES,1563128412,83,28.66,-17.92,73.4,16.11
486,Wahiawa,40,US,1563128413,94,21.5,-158.02,82.0,6.93
487,Umm Kaddadah,62,SD,1563128413,35,13.6,26.69,89.79,11.36
488,Warrnambool,95,AU,1563128413,66,-38.38,142.48,54.0,11.99
489,Sterling,1,US,1563128208,55,39.0,-77.4,93.99,9.17
490,Moshi,40,TZ,1563128413,73,-3.36,37.34,69.8,6.93
491,Springbok,0,ZA,1563128413,90,-29.67,17.88,50.19,3.8
492,Halifax,75,CA,1563128140,88,44.65,-63.58,72.0,13.87
493,Haputale,74,LK,1563128414,95,6.77,80.96,67.83,3.62
494,Tazmalt,20,DZ,1563128414,69,36.39,4.4,80.6,6.93
495,Skogn,75,NO,1563128414,66,63.7,11.19,55.4,13.87
496,Iquitos,75,PE,1563128148,74,-3.75,-73.25,84.2,2.24
497,Tateyama,72,JP,1563128414,96,36.66,137.31,71.01,2.13
498,Salekhard,68,RU,1563128415,81,66.54,66.62,62.43,6.35
499,Bathsheba,40,BB,1563128415,74,13.22,-59.52,84.2,19.46
500,High Level,90,CA,1563128415,82,58.52,-117.13,57.2,11.41
501,Wajid,59,SO,1563128415,57,3.81,43.25,81.33,18.95
502,Airai,35,TL,1563128415,82,-8.93,125.41,66.39,5.93
503,Puerto Lumbreras,0,ES,1563128416,27,37.56,-1.81,91.4,12.75
504,Kulotino,79,RU,1563128416,84,58.46,33.37,52.89,1.83
505,Jucuaran,40,SV,1563128416,59,13.25,-88.25,91.4,6.93
506,Inhambane,0,MZ,1563128416,82,-23.87,35.38,64.4,5.53
507,Gallup,1,US,1563128416,28,35.53,-108.74,84.2,4.7
508,Byumba,40,RW,1563128417,60,-1.58,30.06,71.6,4.7
509,Aras,0,ES,1563128417,39,42.56,-2.36,78.8,9.17
510,Kalmunai,94,LK,1563128417,80,7.42,81.82,79.53,1.86
511,Sungaipenuh,84,ID,1563128417,97,-2.08,101.38,73.23,2.46
512,La Primavera,0,AR,1563128417,39,-32.92,-68.67,62.6,4.7
513,General Roca,20,AR,1563128385,33,-39.03,-67.58,57.2,5.82
514,Aldan,9,RU,1563128418,96,58.61,125.39,57.75,1.68
515,Bartica,75,GY,1563128418,66,6.41,-58.62,87.8,11.41
516,Namtsy,0,RU,1563128418,82,62.72,129.66,66.2,6.71
517,Namatanai,100,PG,1563128419,90,-3.66,152.44,75.21,9.98
518,Uige,63,AO,1563128419,48,-7.61,15.06,78.63,3.83
519,Otradnoye,20,RU,1563128419,62,59.77,30.8,59.0,6.71
520,Klaksvik,100,FO,1563128419,100,62.23,-6.59,53.6,4.7
521,Kurumkan,95,RU,1563128419,67,54.33,110.32,52.89,6.15
522,Rocha,47,UY,1563128420,71,-34.48,-54.34,52.89,6.93
523,Ixtapa,75,MX,1563128420,62,20.71,-105.21,89.01,4.88
524,Thohoyandou,0,ZA,1563128420,58,-22.97,30.46,55.59,2.64
525,Soyo,75,AO,1563128420,83,-6.13,12.37,73.4,6.93
526,Ozinki,100,RU,1563128421,73,51.2,49.73,66.39,2.95
527,Muros,20,ES,1563128421,69,42.77,-9.06,80.01,9.17
528,San Patricio,100,PY,1563128421,96,-26.98,-56.83,63.87,7.05
529,Hammerfest,75,NO,1563128421,66,70.66,23.68,48.2,11.41
530,Betare Oya,100,CM,1563128422,97,5.6,14.08,68.01,2.06
531,Santa Cruz de la Palma,40,ES,1563128422,83,28.68,-17.76,73.4,16.11
532,Kirakira,100,SB,1563128422,86,-10.46,161.92,77.55,3.38
533,Ulaangom,90,MN,1563128422,59,49.98,92.07,67.11,7.05
534,Atar,8,MR,1563128422,6,20.52,-13.05,113.19,16.44
535,Ambilobe,8,MG,1563128423,68,-13.19,49.05,70.17,14.23
536,Matehuala,36,MX,1563128423,48,23.65,-100.64,73.41,5.68
537,Islamkot,16,PK,1563128423,69,24.7,70.18,83.85,27.42
538,Sinjar,0,SY,1563128423,47,35.59,37.0,72.87,10.96
539,Beyneu,0,KZ,1563128424,57,45.32,55.19,75.57,22.08
540,Mehamn,75,NO,1563128424,70,71.03,27.85,48.2,10.29
541,Dawlatabad,0,AF,1563128424,8,36.41,64.91,88.35,12.68
542,Saquarema,0,BR,1563128424,54,-22.93,-42.51,84.2,4.7
543,Zhigansk,16,RU,1563128425,76,66.77,123.37,53.43,11.21
544,Mandalgovi,100,MN,1563128425,25,45.76,106.27,76.29,19.26
545,Clearlake,1,US,1563128407,32,38.96,-122.63,87.01,5.82
546,Atikokan,93,CA,1563128425,63,48.76,-91.62,78.63,9.69
547,Dubna,49,RU,1563128398,89,56.76,37.14,53.43,2.98
548,Gigmoto,97,PH,1563128426,73,13.78,124.39,79.53,6.58
549,Vung Tau,67,VN,1563128426,84,10.35,107.08,79.71,11.03
550,Seymchan,17,RU,1563128426,52,62.93,152.39,65.13,4.56
551,Wanning,75,AT,1563128426,82,48.64,13.53,66.0,5.82
552,Hualmay,98,PE,1563128426,83,-11.1,-77.61,62.43,13.62
553,Linxia,100,CN,1563128427,68,35.6,103.21,54.33,3.76
554,Pisco,90,PE,1563128427,30,-13.71,-76.2,71.6,5.82
555,Opuwo,0,NA,1563128185,18,-18.06,13.84,67.11,9.22
556,Fort Nelson,40,CA,1563128427,63,58.81,-122.69,62.6,5.82
557,Manzhouli,49,CN,1563128427,49,49.6,117.43,65.13,3.6
558,Rudsar,90,IR,1563128428,100,37.14,50.29,73.4,4.7
559,Samfya,0,ZM,1563128428,34,-11.37,29.56,63.51,4.81
560,Juneau,90,US,1563128428,93,58.3,-134.42,59.0,3.36
561,Broken Hill,90,AU,1563128428,66,-31.97,141.45,50.0,16.11
562,Aksu,0,KZ,1563128428,72,52.04,76.93,68.0,6.71
563,Ciudad Bolivar,38,VE,1563128428,44,8.12,-63.55,90.33,8.3
564,Sobolevo,100,RU,1563128429,88,54.43,31.9,55.23,3.49
565,Nuuk,20,GL,1563128190,39,64.17,-51.74,66.2,6.93
566,Palmer,75,AU,1563128429,81,-34.85,139.16,53.6,18.34
567,Harper,75,US,1563128429,48,30.3,-99.24,93.99,6.93
568,Jining,39,CN,1563128430,70,35.41,116.58,76.65,10.69
569,Kichera,61,RU,1563128430,74,55.93,110.1,55.23,7.4
570,Bembereke,0,BJ,1563128430,62,10.23,2.66,82.41,0.85
571,Amuntai,71,ID,1563128232,93,-2.42,115.25,69.09,2.28
